Title,Author,Genre,Height,Publisher
Empire of the Mughal - Brothers at War,"Rutherford, Alex",history,180,
Gun Gayin Awadi,"Deshpande, P L",nonfiction,212,
Orientalism,"Said, Edward",nonfiction,197,Penguin
Hafasavnuk,Deshpande P L,fiction,211,
Selected Short Stories,,fiction,215,
Gun Gayin Awadi,"Deshpande, P L",nonfiction,212,
Beyond Degrees,,philosophy,222,HarperCollins
Maqta-e-Ghalib,"Garg, Sanjay",nonfiction,221,Mauj
Oxford book of Modern Science Writing,"Dawkins, Richard",science,240,
"Last Mughal, The","Dalrymple, William",history,199,Penguin
"Russian Journal, A","Steinbeck, John",nonfiction,196,
Justice League: The Villain's Journey,,fiction,258,
Soft Computing & Intelligent Systems,"Gupta, Madan",data_science,242,
"Raisin in the Sun, A","Hansberry, Lorraine",fiction,175,
"Killing Joke, The",,fiction,283,
Mein Kampf,"Hitler, Adolf",nonfiction,212,
Batatyachi Chal,Deshpande P L,fiction,200,
"Pillars of the Earth, The","Follett, Ken",fiction,176,
Jurassic Park,"Crichton, Michael",fiction,174,
"Great Indian Novel, The","Tharoor, Shashi",fiction,198,Penguin
Physics & Philosophy,"Heisenberg, Werner",science,197,
Dylan on Dylan,"Dylan, Bob",nonfiction,197,Random House
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,179,
Talking Straight,"Iacoca, Lee",nonfiction,175,
Power Electronics - Rashid,"Rashid, Muhammad",computer_science,235,
Doctor in the Nude,"Gordon, Richard",fiction,179,Penguin
"Age of the Warrior, The","Fisk, Robert",history,197,
Tales of Beedle the Bard,"Rowling, J K",fiction,184,
"Story of Philosophy, The","Durant, Will",philosophy,170,
Think Complexity,"Downey, Allen",data_science,230,
20000 Leagues Under the Sea,"Verne, Jules",fiction,190,
Ashenden of The British Agent,"Maugham, William S",fiction,160,Vintage
Batman Earth One,,comic,265,
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,176,
Return of the Primitive,"Rand, Ayn",philosophy,202,
Ashenden of The British Agent,"Maugham, William S",fiction,160,
Let Us C,"Kanetkar, Yashwant",tech,213,Prentice Hall
"Trembling of a Leaf, The","Maugham, William S",fiction,205,
"Life in Letters, A","Steinbeck, John",nonfiction,196,
Empire of the Mughal - Ruler of the World,"Rutherford, Alex",history,180,
"History of England, Foundation","Ackroyd, Peter",history,197,
Structure & Interpretation of Computer Programs,"Sussman, Gerald",tech,240,
"Artist and the Mathematician, The","Aczel, Amir",science,186,HighStakes
"Pillars of the Earth, The","Follett, Ken",fiction,176,
Uncommon Wisdom,"Capra, Fritjof",nonfiction,197,
O Jerusalem!,"Lapierre, Dominique",history,217,
Superfreakonomics,"Dubner, Stephen",economics,179,HarperCollins
Superman Earth One - 1,,comic,259,
We the Living,"Rand, Ayn",fiction,178,
India from Midnight to Milennium,"Tharoor, Shashi",nonfiction,198,Penguin
"History of England, Foundation","Ackroyd, Peter",history,197,
Vyakti ani Valli,"Deshpande, P L",nonfiction,211,
"Analysis, Vol I","Tao, Terence",mathematics,248,
Structure & Interpretation of Computer Programs,"Sussman, Gerald",computer_science,240,
Mein Kampf,"Hitler, Adolf",nonfiction,212,
"Case of the Lame Canary, The","Gardner, Earle Stanley",fiction,179,
Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction,172,HarperCollins
Fundamentals of Wavelets,"Goswami, Jaideva",signal_processing,228,
"Signal and the Noise, The","Silver, Nate",data_science,233,Penguin
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,176,
Rosy is My Relative,"Durrell, Gerald",fiction,176,
Asami Asami,"Deshpande, P L",fiction,205,
Simpsons & Their Mathematical Secrets,"Singh, Simon",science,233,
Introduction to Algorithms,"Cormen, Thomas",computer_science,234,
Urlasurla,Deshpande P L,fiction,211,
"Discovery of India, The","Nehru, Jawaharlal",nonfiction,230,
We the Nation,Palkhivala,philosophy,216,
Crime and Punishment,"Dostoevsky, Fyodor",fiction,180,
"Short History of the World, A","Wells, H G",nonfiction,197,
Selected Short Stories,,fiction,215,
"Farewell to Arms, A","Hemingway, Ernest",fiction,179,Rupa
Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",nonfiction,180,
Political Philosophers,,philosophy,162,
Eyeless in Gaza,"Huxley, Aldous",fiction,180,
"Prisoner of Birth, A","Archer, Jeffery",fiction,176,Pan
"Idea of Justice, The","Sen, Amartya",nonfiction,212,Penguin
"Great Indian Novel, The","Tharoor, Shashi",fiction,198,
How to Think Like Sherlock Holmes,"Konnikova, Maria",nonfiction,240,
"World's Greatest Short Stories, The",,fiction,217,Jaico
Asami Asami,"Deshpande, P L",fiction,205,
"Social Choice & Welfare, Vol 39 No. 1",Various,economics,235,
Crime and Punishment,"Dostoevsky, Fyodor",fiction,180,
Batman: The Long Halloween,,comic,258,
To Sir With Love,Braithwaite,fiction,197,Penguin
"Case of the Lame Canary, The","Gardner, Earle Stanley",fiction,179,
One,"Bach, Richard",nonfiction,172,
Ahe Manohar Tari,"Deshpande, Sunita",nonfiction,213,Mauj
"Russian Journal, A","Steinbeck, John",nonfiction,196,Penguin
History of Western Philosophy,"Russell, Bertrand",philosophy,213,
Soft Computing & Intelligent Systems,"Gupta, Madan",tech,242,
Superman Earth One - 1,,fiction,259,
Murphy's Law,,philosophy,178,
Murphy's Law,,nonfiction,178,
Statistical Decision Theory',"Pratt, John",tech,236,
Murphy's Law,,nonfiction,178,
"Argumentative Indian, The","Sen, Amartya",nonfiction,209,
Manasa,"Kale, V P",nonfiction,213,
"Moon is Down, The","Steinbeck, John",fiction,196,Penguin
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,176,
Crisis on Infinite Earths,,comic,258,
Unpopular Essays,"Russell, Bertrand",philosophy,198,
"Amulet of Samarkand, The","Stroud, Jonathan",fiction,179,
Justice League: The Villain's Journey,,fiction,258,
Integration of the Indian States,"Menon, V P",history,217,
"City of Joy, The","Lapierre, Dominique",fiction,177,
"Amulet of Samarkand, The","Stroud, Jonathan",fiction,179,
Structure and Randomness,"Tao, Terence",mathematics,252,
Selected Short Stories,,fiction,215,
Dongri to Dubai,"Zaidi, Hussain",nonfiction,216,
Identity & Violence,"Sen, Amartya",philosophy,219,Penguin
Orientalism,"Said, Edward",nonfiction,197,
India's Legal System,Nariman,nonfiction,177,
We the Nation,Palkhivala,philosophy,216,
Freedom at Midnight,"Lapierre, Dominique",history,167,vikas
"Outsider, The","Camus, Albert",fiction,198,Penguin
Ashenden of The British Agent,"Maugham, William S",fiction,160,
"Signal and the Noise, The","Silver, Nate",tech,233,
We the Living,"Rand, Ayn",fiction,178,
"Outsider, The","Camus, Albert",fiction,198,Penguin
"New Machiavelli, The","Wells, H. G.",fiction,180,
Justice League: Throne of Atlantis,,comic,258,
Tales of Beedle the Bard,"Rowling, J K",fiction,184,
Fundamentals of Wavelets,"Goswami, Jaideva",tech,228,
Structure and Randomness,"Tao, Terence",mathematics,252,
"Great War for Civilization, The","Fisk, Robert",nonfiction,197,
"Analysis, Vol I","Tao, Terence",mathematics,248,HBA
Oxford book of Modern Science Writing,"Dawkins, Richard",science,240,
Empire of the Mughal - Brothers at War,"Rutherford, Alex",nonfiction,180,
"Amulet of Samarkand, The","Stroud, Jonathan",fiction,179,
Free Will,"Harris, Sam",nonfiction,203,FreePress
Batman Handbook,,fiction,270,
"World's Great Thinkers, The",,science,189,
"Age of the Warrior, The","Fisk, Robert",nonfiction,197,
Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",nonfiction,228,
"World's Great Thinkers, The",,philosophy,189,
Think Complexity,"Downey, Allen",data_science,230,
Angels & Demons,"Brown, Dan",fiction,170,
Bookless in Baghdad,"Tharoor, Shashi",nonfiction,206,Penguin
Machine Learning for Hackers,"Conway, Drew",data_science,233,
Oxford book of Modern Science Writing,"Dawkins, Richard",science,240,
"Age of the Warrior, The","Fisk, Robert",history,197,
Pattern Classification,"Duda, Hart",tech,241,
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",tech,230,
"Moon and Sixpence, The","Maugham, William S",fiction,180,
Angels & Demons,"Brown, Dan",fiction,170,
"Courtroom Genius, The",Sorabjee,nonfiction,217,
"Death of Superman, The",,comic,258,
Burning Bright,"Steinbeck, John",fiction,175,
"Arthashastra, The",Kautiyla,philosophy,214,
Manasa,"Kale, V P",nonfiction,213,Mauj
"Arthashastra, The",Kautiyla,philosophy,214,
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",nonfiction,180,
Statistical Decision Theory',"Pratt, John",data_science,236,
From Beirut to Jerusalem,"Friedman, Thomas",history,202,
Statistical Learning Theory,"Vapnik, Vladimir",data_science,228,
Batman: The Long Halloween,,comic,258,
Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy,172,
Design with OpAmps,"Franco, Sergio",tech,240,
"Killing Joke, The",,comic,283,
Girl who played with Fire,"Larsson, Steig",fiction,179,
Image Processing with MATLAB,"Eddins, Steve",tech,241,
"Argumentative Indian, The","Sen, Amartya",nonfiction,209,Picador
Pattern Classification,"Duda, Hart",tech,241,
"Deceiver, The","Forsyth, Frederick",fiction,178,
"Tao of Physics, The","Capra, Fritjof",science,179,Penguin
Rationality & Freedom,"Sen, Amartya",economics,213,
India's Legal System,Nariman,nonfiction,177,
Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction,172,HarperCollins
Doctor on the Brain,"Gordon, Richard",fiction,204,
"Outsider, The","Camus, Albert",fiction,198,
Radiowaril Bhashane & Shrutika,"Deshpande, P L",nonfiction,213,
Batman: The Long Halloween,,fiction,258,
History of the DC Universe,,fiction,258,
Crisis on Infinite Earths,,fiction,258,
"Story of Philosophy, The","Durant, Will",philosophy,170,
Radiowaril Bhashane & Shrutika,"Deshpande, P L",nonfiction,213,
Urlasurla,Deshpande P L,fiction,211,
"Farewell to Arms, A","Hemingway, Ernest",fiction,179,
Principles of Communication Systems,"Taub, Schilling",computer_science,240,
"Raisin in the Sun, A","Hansberry, Lorraine",fiction,175,Penguin
"Artist and the Mathematician, The","Aczel, Amir",science,186,HighStakes
"Russian Journal, A","Steinbeck, John",nonfiction,196,Penguin
"Moon and Sixpence, The","Maugham, William S",fiction,180,
History of the DC Universe,,comic,258,
Free Will,"Harris, Sam",philosophy,203,FreePress
India's Legal System,Nariman,nonfiction,177,
We the Nation,Palkhivala,philosophy,216,
In a Free State,"Naipaul, V. S.",fiction,196,
We the People,Palkhivala,philosophy,216,
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,176,
Jurassic Park,"Crichton, Michael",fiction,174,Random House
Physics & Philosophy,"Heisenberg, Werner",philosophy,197,
"Farewell to Arms, A","Hemingway, Ernest",fiction,179,Rupa
Catch 22,"Heller, Joseph",fiction,178,
Rosy is My Relative,"Durrell, Gerald",fiction,176,
Fundamentals of Wavelets,"Goswami, Jaideva",tech,228,
"Last Lecture, The","Pausch, Randy",nonfiction,197,
Political Philosophers,,philosophy,162,
Superman Earth One - 2,,comic,258,
"Last Lecture, The","Pausch, Randy",nonfiction,197,
"Numbers Behind Numb3rs, The","Devlin, Keith",science,202,
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,179,
Half A Life,"Naipaul, V S",fiction,196,
"Outsider, The","Camus, Albert",fiction,198,Penguin
Flashpoint,,fiction,265,
Making Software,"Oram, Andy",tech,232,O'Reilly
Pattern Classification,"Duda, Hart",tech,241,
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",tech,230,
"Prisoner of Birth, A","Archer, Jeffery",fiction,176,
Mossad,"Baz-Zohar, Michael",nonfiction,236,
"City of Joy, The","Lapierre, Dominique",fiction,177,
Doctor on the Brain,"Gordon, Richard",fiction,204,
False Impressions,"Archer, Jeffery",fiction,177,Pan
Free Will,"Harris, Sam",nonfiction,203,FreePress
Ashenden of The British Agent,"Maugham, William S",fiction,160,
"Courtroom Genius, The",Sorabjee,nonfiction,217,
"Computer Vision, A Modern Approach","Forsyth, David",data_science,255,
Design with OpAmps,"Franco, Sergio",computer_science,240,
False Impressions,"Archer, Jeffery",fiction,177,Pan
Beyond Degrees,,nonfiction,222,
"Theory of Everything, The","Hawking, Stephen",science,217,Jaico
"Story of Philosophy, The","Durant, Will",philosophy,170,Pocket
Gun Gayin Awadi,"Deshpande, P L",nonfiction,212,Mauj
20000 Leagues Under the Sea,"Verne, Jules",fiction,190,
"Social Choice & Welfare, Vol 39 No. 1",Various,economics,235,
Angels & Demons,"Brown, Dan",fiction,170,
Jim Corbett Omnibus,"Corbett, Jim",nonfiction,223,
"Moon is Down, The","Steinbeck, John",fiction,196,
Urlasurla,Deshpande P L,fiction,211,
Ashenden of The British Agent,"Maugham, William S",fiction,160,
Design with OpAmps,"Franco, Sergio",computer_science,240,
Freedom at Midnight,"Lapierre, Dominique",history,167,vikas
Principles of Communication Systems,"Taub, Schilling",tech,240,TMH
Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",nonfiction,228,
"Farewell to Arms, A","Hemingway, Ernest",fiction,179,
Free Will,"Harris, Sam",nonfiction,203,FreePress
History of Western Philosophy,"Russell, Bertrand",philosophy,213,Routledge
Introduction to Algorithms,"Cormen, Thomas",tech,234,
"Artist and the Mathematician, The","Aczel, Amir",science,186,
Jim Corbett Omnibus,"Corbett, Jim",nonfiction,223,
20000 Leagues Under the Sea,"Verne, Jules",fiction,190,
"Courtroom Genius, The",Sorabjee,nonfiction,217,
"Case of the Lame Canary, The","Gardner, Earle Stanley",fiction,179,
Data Scientists at Work,Sebastian Gutierrez,data_science,230,Apress
Structure & Interpretation of Computer Programs,"Sussman, Gerald",tech,240,MIT Press
Return of the Primitive,"Rand, Ayn",philosophy,202,
Char Shabda,"Deshpande, P L",nonfiction,214,
Structure & Interpretation of Computer Programs,"Sussman, Gerald",computer_science,240,
Uncommon Wisdom,"Capra, Fritjof",nonfiction,197,
"World's Greatest Trials, The",,history,210,
Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",history,180,
Aghal Paghal,"Deshpande, P L",nonfiction,212,
O Jerusalem!,"Lapierre, Dominique",nonfiction,217,
Mossad,"Baz-Zohar, Michael",history,236,
"Last Mughal, The","Dalrymple, William",nonfiction,199,
God Created the Integers,"Hawking, Stephen",mathematics,197,
Political Philosophers,,philosophy,162,
"Age of the Warrior, The","Fisk, Robert",nonfiction,197,
Statistical Decision Theory',"Pratt, John",data_science,236,
Free Will,"Harris, Sam",philosophy,203,FreePress
Batman Earth One,,comic,265,
"World's Greatest Short Stories, The",,fiction,217,
Introduction to Algorithms,"Cormen, Thomas",tech,234,
"Complete Mastermind, The",BBC,nonfiction,178,
"World's Greatest Short Stories, The",,fiction,217,
On Education,"Russell, Bertrand",philosophy,203,Routledge
Power Electronics - Rashid,"Rashid, Muhammad",tech,235,
Karl Marx Biography,,nonfiction,162,
"Judge, The",,fiction,170,
Power Electronics - Rashid,"Rashid, Muhammad",computer_science,235,
Jim Corbett Omnibus,"Corbett, Jim",nonfiction,223,
Statistical Learning Theory,"Vapnik, Vladimir",data_science,228,
"Great War for Civilization, The","Fisk, Robert",history,197,
"Prisoner of Birth, A","Archer, Jeffery",fiction,176,
"Grapes of Wrath, The","Steinbeck, John",fiction,196,
Ayn Rand Answers,"Rand, Ayn",philosophy,203,
Doctor on the Brain,"Gordon, Richard",fiction,204,
Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",nonfiction,228,
Final Crisis,,comic,257,
"Trial, The","Kafka, Frank",fiction,198,
"Beautiful and the Damned, The","Deb, Siddhartha",nonfiction,198,Penguin
Free Will,"Harris, Sam",philosophy,203,
"Computer Vision, A Modern Approach","Forsyth, David",data_science,255,
"Attorney, The",,fiction,170,
Broca's Brain,"Sagan, Carl",science,174,
20000 Leagues Under the Sea,"Verne, Jules",fiction,190,
"Social Choice & Welfare, Vol 39 No. 1",Various,economics,235,
Justice League: The Villain's Journey,,comic,258,
New Markets & Other Essays,"Drucker, Peter",science,176,Penguin
Jim Corbett Omnibus,"Corbett, Jim",nonfiction,223,
Political Philosophers,,philosophy,162,
Data Scientists at Work,Sebastian Gutierrez,data_science,230,
"Death of Superman, The",,fiction,258,
How to Think Like Sherlock Holmes,"Konnikova, Maria",psychology,240,
Angels & Demons,"Brown, Dan",fiction,178,Random House
Structure & Interpretation of Computer Programs,"Sussman, Gerald",computer_science,240,
Ashenden of The British Agent,"Maugham, William S",fiction,160,
Scoop!,"Nayar, Kuldip",nonfiction,216,
Data Analysis with Open Source Tools,"Janert, Phillip",tech,230,
Jurassic Park,"Crichton, Michael",fiction,174,
Simpsons & Their Mathematical Secrets,"Singh, Simon",science,233,
Dylan on Dylan,"Dylan, Bob",nonfiction,197,
"Cathedral and the Bazaar, The","Raymond, Eric",computer_science,217,
Bookless in Baghdad,"Tharoor, Shashi",nonfiction,206,
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,179,
"Judge, The",,fiction,170,
Data Mining Handbook,"Nisbet, Robert",data_science,242,
Doctor on the Brain,"Gordon, Richard",fiction,204,
"Farewell to Arms, A","Hemingway, Ernest",fiction,179,
Apulki,"Deshpande, P L",nonfiction,211,
Char Shabda,"Deshpande, P L",nonfiction,214,
Dylan on Dylan,"Dylan, Bob",nonfiction,197,Random House
Crisis on Infinite Earths,,fiction,258,
Batatyachi Chal,Deshpande P L,fiction,200,
"World's Greatest Trials, The",,history,210,
Gun Gayin Awadi,"Deshpande, P L",nonfiction,212,Mauj
"Judge, The",,fiction,170,
Men of Mathematics,"Bell, E T",science,217,
"Pillars of the Earth, The","Follett, Ken",fiction,176,Random House
Journal of a Novel,"Steinbeck, John",fiction,196,
Animal Farm,"Orwell, George",fiction,180,
"Russian Journal, A","Steinbeck, John",nonfiction,196,
"Journal of Economics, vol 106 No 3",,science,235,
Manasa,"Kale, V P",nonfiction,213,
Structure and Randomness,"Tao, Terence",mathematics,252,
Down and Out in Paris & London,"Orwell, George",nonfiction,179,
False Impressions,"Archer, Jeffery",fiction,177,
Neural Networks,"Haykin, Simon",data_science,240,
"Age of Discontuinity, The","Drucker, Peter",nonfiction,178,
Mein Kampf,"Hitler, Adolf",nonfiction,212,
Data Smart,"Foreman, John",tech,235,
One,"Bach, Richard",nonfiction,172,
"Cathedral and the Bazaar, The","Raymond, Eric",computer_science,217,
Radiowaril Bhashane & Shrutika,"Deshpande, P L",nonfiction,213,
20000 Leagues Under the Sea,"Verne, Jules",fiction,190,
God Created the Integers,"Hawking, Stephen",tech,197,
"Theory of Everything, The","Hawking, Stephen",science,217,Jaico
"New Machiavelli, The","Wells, H. G.",fiction,180,
Superman Earth One - 2,,fiction,258,
Principles of Communication Systems,"Taub, Schilling",tech,240,
Textbook of Economic Theory,"Stonier, Alfred",tech,242,Pearson
Political Philosophers,,philosophy,162,
"City of Joy, The","Lapierre, Dominique",fiction,177,vikas
Slaughterhouse Five,"Vonnegut, Kurt",fiction,198,
"Deceiver, The","Forsyth, Frederick",fiction,178,
Crime and Punishment,"Dostoevsky, Fyodor",fiction,180,
Data Analysis with Open Source Tools,"Janert, Phillip",data_science,230,
Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",history,180,
"Complete Mastermind, The",BBC,nonfiction,178,
Jim Corbett Omnibus,"Corbett, Jim",nonfiction,223,
Power Electronics - Rashid,"Rashid, Muhammad",computer_science,235,
Once There Was a War,"Steinbeck, John",nonfiction,196,Penguin
"Brethren, The","Grisham, John",fiction,174,
Eyeless in Gaza,"Huxley, Aldous",fiction,180,
On Education,"Russell, Bertrand",philosophy,203,
O Jerusalem!,"Lapierre, Dominique",history,217,
Introduction to Algorithms,"Cormen, Thomas",computer_science,234,
"Winter of Our Discontent, The","Steinbeck, John",fiction,196,
Introduction to Algorithms,"Cormen, Thomas",tech,234,
Slaughterhouse Five,"Vonnegut, Kurt",fiction,198,
Return of the Primitive,"Rand, Ayn",philosophy,202,
"Computer Vision, A Modern Approach","Forsyth, David",tech,255,Pearson
"City of Joy, The","Lapierre, Dominique",fiction,177,vikas
Asami Asami,"Deshpande, P L",fiction,205,
Asami Asami,"Deshpande, P L",fiction,205,
Empire of the Mughal - Raiders from the North,"Rutherford, Alex",nonfiction,180,
Burning Bright,"Steinbeck, John",fiction,175,Penguin
Bookless in Baghdad,"Tharoor, Shashi",nonfiction,206,Penguin
Apulki,"Deshpande, P L",nonfiction,211,
Making Software,"Oram, Andy",computer_science,232,
Aghal Paghal,"Deshpande, P L",nonfiction,212,
Jurassic Park,"Crichton, Michael",fiction,174,Random House
"Hunchback of Notre Dame, The","Hugo, Victor",fiction,175,
"Journal of Economics, vol 106 No 3",,science,235,
"Age of Discontuinity, The","Drucker, Peter",economics,178,
"History of England, Foundation","Ackroyd, Peter",history,197,
Aghal Paghal,"Deshpande, P L",nonfiction,212,Mauj
"Last Mughal, The","Dalrymple, William",history,199,
"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",nonfiction,224,
All the President's Men,"Woodward, Bob",nonfiction,177,
"History of England, Foundation","Ackroyd, Peter",nonfiction,197,
Flashpoint,,comic,265,
Machine Learning for Hackers,"Conway, Drew",tech,233,
Empire of the Mughal - Raiders from the North,"Rutherford, Alex",nonfiction,180,
"Last Mughal, The","Dalrymple, William",history,199,
"Veteran, The","Forsyth, Frederick",fiction,177,
Sea of Poppies,"Ghosh, Amitav",fiction,197,Penguin
God Created the Integers,"Hawking, Stephen",mathematics,197,
Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy,172,Vintage
"Brethren, The","Grisham, John",fiction,174,Random House
"Journal of Economics, vol 106 No 3",,economics,235,
Dongri to Dubai,"Zaidi, Hussain",nonfiction,216,
"Russian Journal, A","Steinbeck, John",nonfiction,196,
Doctor on the Brain,"Gordon, Richard",fiction,204,
Superman Earth One - 1,,comic,259,
Sea of Poppies,"Ghosh, Amitav",fiction,197,
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",data_science,230,Springer
"Pillars of the Earth, The","Follett, Ken",fiction,176,Random House
"Computer Vision, A Modern Approach","Forsyth, David",data_science,255,Pearson
Pattern Classification,"Duda, Hart",data_science,241,
Philosophy: Who Needs It,"Rand, Ayn",philosophy,171,
Python for Data Analysis,"McKinney, Wes",data_science,233,
"Short History of the World, A","Wells, H G",history,197,
Girl with the Dragon Tattoo,"Larsson, Steig",fiction,179,
"Last Mughal, The","Dalrymple, William",history,199,
From Beirut to Jerusalem,"Friedman, Thomas",history,202,
"Last Lecture, The","Pausch, Randy",nonfiction,197,
Selected Short Stories,,fiction,215,
How to Think Like Sherlock Holmes,"Konnikova, Maria",psychology,240,Penguin
"Discovery of India, The","Nehru, Jawaharlal",nonfiction,230,
"Farewell to Arms, A","Hemingway, Ernest",fiction,179,
Dongri to Dubai,"Zaidi, Hussain",nonfiction,216,
Ayn Rand Answers,"Rand, Ayn",philosophy,203,
Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy,172,Vintage
Freedom at Midnight,"Lapierre, Dominique",nonfiction,167,vikas
Political Philosophers,,philosophy,162,
"Wealth of Nations, The","Smith, Adam",science,175,Random House
"World's Greatest Short Stories, The",,fiction,217,
"Russian Journal, A","Steinbeck, John",nonfiction,196,Penguin
"Social Choice & Welfare, Vol 39 No. 1",Various,economics,235,Springer
"Brethren, The","Grisham, John",fiction,174,
In a Free State,"Naipaul, V. S.",fiction,196,
"Tao of Physics, The","Capra, Fritjof",science,179,Penguin
Identity & Violence,"Sen, Amartya",philosophy,219,
False Impressions,"Archer, Jeffery",fiction,177,
Oxford book of Modern Science Writing,"Dawkins, Richard",science,240,
Aghal Paghal,"Deshpande, P L",nonfiction,212,
Batman Handbook,,fiction,270,
Ayn Rand Answers,"Rand, Ayn",philosophy,203,
"Age of the Warrior, The","Fisk, Robert",nonfiction,197,
On Education,"Russell, Bertrand",philosophy,203,
Data Smart,"Foreman, John",data_science,235,
"Winter of Our Discontent, The","Steinbeck, John",fiction,196,
Beyond the Three Seas,"Dalrymple, William",history,197,
History of Western Philosophy,"Russell, Bertrand",philosophy,213,Routledge
"Information, The","Gleick, James",science,233,
Flashpoint,,fiction,265,
"Life in Letters, A","Steinbeck, John",nonfiction,196,
Structure and Randomness,"Tao, Terence",science,252,
Ahe Manohar Tari,"Deshpande, Sunita",nonfiction,213,Mauj
Data Structures Using C & C++,"Tanenbaum, Andrew",tech,235,
Freedom at Midnight,"Lapierre, Dominique",nonfiction,167,
Animal Farm,"Orwell, George",fiction,180,
"Phantom of Manhattan, The","Forsyth, Frederick",fiction,180,
History of Western Philosophy,"Russell, Bertrand",philosophy,213,
Broca's Brain,"Sagan, Carl",science,174,
Doctor on the Brain,"Gordon, Richard",fiction,204,
Sea of Poppies,"Ghosh, Amitav",fiction,197,
"Life in Letters, A","Steinbeck, John",nonfiction,196,
Karl Marx Biography,,nonfiction,162,
"Theory of Everything, The","Hawking, Stephen",science,217,
"Prisoner of Birth, A","Archer, Jeffery",fiction,176,
Burning Bright,"Steinbeck, John",fiction,175,
"Trembling of a Leaf, The","Maugham, William S",fiction,205,
Machine Learning for Hackers,"Conway, Drew",data_science,233,O'Reilly
Rationality & Freedom,"Sen, Amartya",economics,213,
"Computer Vision, A Modern Approach","Forsyth, David",tech,255,
Power Electronics - Rashid,"Rashid, Muhammad",computer_science,235,
"Deceiver, The","Forsyth, Frederick",fiction,178,
Superfreakonomics,"Dubner, Stephen",science,179,HarperCollins
Journal of a Novel,"Steinbeck, John",fiction,196,
Radiowaril Bhashane & Shrutika,"Deshpande, P L",nonfiction,213,
"Code Book, The","Singh, Simon",science,197,
Sea of Poppies,"Ghosh, Amitav",fiction,197,
Power Electronics - Mohan,"Mohan, Ned",tech,237,
"Prince, The",Machiavelli,philosophy,173,
"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",philosophy,224,
Structure and Randomness,"Tao, Terence",mathematics,252,
"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",nonfiction,224,
Batman Handbook,,fiction,270,
"Hidden Connections, The","Capra, Fritjof",science,197,
Data Mining Handbook,"Nisbet, Robert",data_science,242,Apress
"Great War for Civilization, The","Fisk, Robert",history,197,
Dongri to Dubai,"Zaidi, Hussain",nonfiction,216,
"Prisoner of Birth, A","Archer, Jeffery",fiction,176,Pan
Soft Computing & Intelligent Systems,"Gupta, Madan",data_science,242,Elsevier
Data Mining Handbook,"Nisbet, Robert",tech,242,
Angels & Demons,"Brown, Dan",fiction,170,
More Tears to Cry,"Sassoon, Jean",fiction,235,
Ayn Rand Answers,"Rand, Ayn",philosophy,203,
"Case of the Lame Canary, The","Gardner, Earle Stanley",fiction,179,
Eyeless in Gaza,"Huxley, Aldous",fiction,180,
How to Think Like Sherlock Holmes,"Konnikova, Maria",psychology,240,
Data Smart,"Foreman, John",tech,235,
India's Legal System,Nariman,nonfiction,177,
"Short History of the World, A","Wells, H G",history,197,
Identity & Violence,"Sen, Amartya",philosophy,219,
"Hidden Connections, The","Capra, Fritjof",science,197,
Oxford book of Modern Science Writing,"Dawkins, Richard",science,240,
Once There Was a War,"Steinbeck, John",nonfiction,196,
Rosy is My Relative,"Durrell, Gerald",fiction,176,
"Death of Superman, The",,fiction,258,
Slaughterhouse Five,"Vonnegut, Kurt",fiction,198,
Sea of Poppies,"Ghosh, Amitav",fiction,197,
Ahe Manohar Tari,"Deshpande, Sunita",nonfiction,213,
"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",nonfiction,224,
"Trembling of a Leaf, The","Maugham, William S",fiction,205,
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",fiction,176,
"Christmas Carol, A","Dickens, Charles",fiction,196,
Journal of a Novel,"Steinbeck, John",fiction,196,
"Christmas Carol, A","Dickens, Charles",fiction,196,
Data Scientists at Work,Sebastian Gutierrez,data_science,230,
